TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132523939732789720,1944,2139,2706,1921,1730,1890,-209,-373,-422
132523939732793263,1945,2129,2678,1920,1728,1888,-209,-373,-422
132523939732796321,1947,2147,2671,1920,1730,1886,-209,-373,-422
132523939732948830,1929,2127,2697,1920,1728,1889,-210,-369,-421
132523939733097457,1935,2139,2680,1921,1727,1888,-210,-369,-421
132523939733185293,1948,2145,2685,1921,1728,1888,-210,-369,-421
132523939733562011,1958,2148,2700,1919,1729,1888,-210,-369,-421
132523939733700519,1953,2131,2686,1919,1728,1888,-204,-370,-426
132523939733772608,1942,2150,2689,1921,1730,1890,-204,-370,-426
132523939734086781,1955,2138,2699,1920,1729,1888,-204,-370,-426
132523939734185349,1951,2130,2678,1920,1729,1888,-214,-362,-420
132523939734435344,1939,2157,2688,1920,1729,1890,-214,-362,-420
132523939734649716,1953,2141,2697,1920,1730,1891,-214,-362,-420
132523939734913356,1942,2135,2686,1920,1728,1889,-214,-362,-420
132523939735225781,1938,2147,2675,1919,1728,1888,-204,-371,-432
132523939735601024,1949,2130,2666,1920,1729,1888,-204,-371,-432
132523939735610680,1947,2148,2685,1921,1729,1889,-204,-371,-432
132523939735624656,1954,2137,2678,1920,1729,1886,-218,-370,-423
132523939735984715,1937,2144,2668,1919,1729,1889,-218,-370,-423
132523939736007920,1946,2131,2662,1920,1728,1888,-218,-370,-423
132523939736150428,1929,2145,2667,1921,1730,1890,-218,-370,-423
132523939736436004,1959,2132,2691,1921,1729,1890,-202,-373,-421
132523939736577972,1942,2143,2693,1919,1729,1888,-202,-373,-421
132523939736711656,1925,2128,2705,1920,1729,1889,-202,-373,-421
132523939736999223,1957,2149,2699,1921,1730,1889,-207,-367,-431
132523939737236824,1959,2143,2672,1919,1729,1889,-207,-367,-431
132523939737379354,1945,2124,2692,1921,1729,1889,-207,-367,-431
132523939737576688,1944,2141,2699,1921,1730,1889,-207,-367,-431
132523939737710035,1955,2137,2677,1922,1729,1887,-211,-371,-427
132523939737952102,1942,2144,2697,1921,1730,1890,-211,-371,-427
132523939738133162,1947,2154,2657,1919,1728,1888,-211,-371,-427
132523939738278967,1951,2142,2686,1921,1729,1889,-202,-368,-414
132523939738527598,1951,2142,2705,1921,1729,1890,-202,-368,-414
132523939738807465,1958,2159,2675,1922,1731,1890,-202,-368,-414
132523939738951479,1943,2150,2689,1921,1729,1889,-202,-368,-414
132523939739036308,1954,2133,2693,1919,1728,1888,-212,-371,-425
132523939739323452,1956,2153,2684,1921,1730,1888,-212,-371,-425
132523939739460961,1954,2121,2670,1920,1729,1888,-212,-371,-425
132523939739702491,1959,2155,2695,1919,1729,1888,-215,-368,-421
132523939739828602,1942,2153,2678,1920,1729,1889,-215,-368,-421
132523939740060225,1960,2149,2665,1921,1729,1889,-215,-368,-421
132523939740226615,1958,2143,2675,1920,1730,1889,-215,-368,-421
132523939740460958,1936,2148,2661,1920,1729,1889,-209,-371,-425
132523939740636769,1933,2119,2657,1919,1729,1889,-209,-371,-425
132523939740878104,1949,2144,2678,1920,1730,1888,-209,-371,-425
132523939741099257,1938,2155,2668,1920,1729,1889,-210,-368,-426
132523939741387724,1953,2152,2675,1919,1728,1888,-210,-368,-426
132523939741402655,1947,2135,2688,1919,1729,1888,-210,-368,-426
132523939741624200,1957,2141,2675,1921,1730,1890,-210,-368,-426
132523939741802651,1944,2131,2662,1920,1728,1888,-207,-375,-421
132523939742079533,1952,2136,2694,1920,1729,1889,-207,-375,-421
132523939742334327,1942,2143,2696,1919,1728,1888,-207,-375,-421
132523939742603196,1962,2147,2695,1920,1728,1888,-203,-376,-427
132523939742611981,1957,2134,2672,1921,1730,1890,-203,-376,-427
132523939742858258,1960,2133,2673,1920,1728,1888,-203,-376,-427
132523939742972627,1943,2156,2686,1919,1729,1889,-203,-376,-427
132523939743200945,1931,2150,2695,1921,1729,1890,-203,-376,-427
132523939743424152,1928,2132,2682,1918,1729,1889,-203,-376,-427
132523939743551387,1936,2144,2682,1920,1729,1889,-203,-376,-427
132523939743801918,1951,2148,2699,1919,1727,1888,-207,-374,-425
132523939743998271,1954,2138,2682,1922,1730,1889,-207,-374,-425
132523939744123762,1939,2127,2690,1922,1729,1890,-207,-374,-425
132523939744378296,1927,2139,2674,1920,1728,1887,-210,-369,-416
132523939744511137,1951,2136,2700,1920,1728,1889,-210,-369,-416
132523939744751787,1935,2141,2688,1921,1730,1890,-210,-369,-416
132523939745052400,1935,2126,2668,1920,1728,1887,-210,-369,-416
132523939745136940,1972,2146,2673,1920,1729,1888,-205,-373,-425
132523939745437705,1960,2138,2655,1920,1728,1889,-205,-373,-425
132523939745560711,1955,2151,2680,1921,1729,1889,-205,-373,-425
132523939745823065,1939,2163,2680,1921,1729,1889,-213,-373,-423
132523939746087580,1977,2148,2671,1920,1729,1888,-213,-373,-423
132523939746314991,1955,2143,2686,1920,1727,1888,-213,-373,-423
132523939746323540,1951,2136,2668,1921,1729,1889,-213,-373,-423
132523939746487061,1973,2149,2680,1920,1728,1888,-209,-371,-423
132523939746765149,1942,2129,2673,1920,1729,1888,-209,-371,-423
132523939746901828,1922,2143,2680,1919,1729,1888,-209,-371,-423
132523939747158160,1921,2145,2671,1920,1730,1889,-214,-367,-420
132523939747301827,1943,2164,2659,1921,1729,1889,-214,-367,-420
132523939747437924,1953,2161,2698,1920,1728,1888,-214,-367,-420
132523939747737187,1952,2154,2667,1921,1727,1888,-214,-367,-420
132523939748014826,1955,2139,2682,1921,1730,1889,-207,-372,-417
132523939748026411,1937,2147,2674,1920,1728,1888,-207,-372,-417
132523939748322506,1926,2137,2679,1921,1730,1888,-207,-372,-417
132523939748608920,1941,2138,2683,1919,1728,1887,-212,-374,-423
132523939748703031,1941,2109,2673,1921,1729,1890,-212,-374,-423
132523939748935903,1931,2138,2695,1921,1729,1890,-212,-374,-423
132523939749234568,1935,2119,2683,1919,1729,1888,-212,-374,-423
132523939749325050,1941,2160,2691,1922,1730,1890,-213,-372,-429
132523939749940979,1945,2144,2697,1920,1729,1890,-213,-372,-429
132523939749948272,1947,2142,2683,1919,1728,1888,-213,-372,-429
132523939749962156,1947,2146,2690,1919,1728,1888,-211,-370,-425
132523939750266145,1948,2145,2667,1920,1728,1888,-211,-370,-425
132523939750277207,1938,2143,2702,1920,1729,1888,-211,-370,-425
132523939750412187,1946,2126,2710,1921,1729,1889,-211,-370,-425
132523939750684930,1956,2140,2686,1919,1728,1889,-210,-376,-427
132523939750748241,1954,2143,2695,1920,1728,1888,-210,-376,-427
132523939750987762,1945,2121,2682,1921,1730,1889,-210,-376,-427
132523939751244661,1964,2145,2688,1920,1729,1888,-207,-367,-416
132523939751325167,1931,2126,2676,1919,1729,1889,-207,-367,-416
132523939751823850,1944,2156,2686,1919,1728,1887,-207,-367,-416
132523939751844639,1944,2130,2665,1919,1729,1889,-207,-367,-416
132523939751961464,1952,2115,2695,1921,1730,1889,-210,-373,-421
132523939752462531,1942,2108,2672,1920,1729,1888,-210,-373,-421
132523939752476873,1950,2139,2683,1920,1728,1888,-210,-373,-421
132523939752488402,1939,2160,2695,1919,1729,1889,-204,-367,-417
132523939752787887,1940,2140,2707,1919,1729,1889,-204,-367,-417
132523939752924128,1945,2144,2699,1919,1730,1889,-204,-367,-417
132523939753177599,1946,2149,2699,1920,1728,1888,-204,-367,-417
132523939753424206,1952,2137,2679,1921,1730,1889,-212,-368,-417
132523939753634922,1941,2141,2680,1921,1729,1890,-212,-368,-417
132523939753697936,1963,2145,2682,1919,1729,1888,-212,-368,-417
132523939753877401,1940,2137,2692,1919,1728,1887,-210,-370,-428
132523939754372714,1951,2127,2692,1920,1729,1890,-210,-370,-428
132523939754389437,1972,2151,2667,1920,1729,1888,-210,-370,-428
132523939754488114,1944,2133,2691,1920,1729,1889,-210,-370,-428
132523939754796172,1968,2149,2689,1917,1728,1887,-207,-369,-423
132523939754890171,1955,2170,2691,1920,1729,1888,-207,-369,-423
132523939755062368,1940,2148,2692,1920,1729,1889,-207,-369,-423
132523939755344904,1944,2149,2667,1920,1728,1888,-207,-373,-433
132523939755489890,1946,2142,2681,1920,1728,1888,-207,-373,-433
132523939755662587,1935,2140,2657,1921,1729,1890,-207,-373,-433
132523939755909298,1921,2141,2665,1919,1729,1889,-207,-373,-433
132523939756076558,1953,2135,2672,1920,1729,1889,-207,-376,-422
132523939756250323,1950,2140,2706,1920,1729,1888,-207,-376,-422
132523939756500028,1954,2132,2702,1922,1730,1888,-207,-376,-422
132523939756776960,1933,2152,2700,1921,1730,1890,-215,-374,-420
132523939757023439,1920,2153,2681,1920,1728,1888,-215,-374,-420
132523939757039951,1967,2136,2685,1920,1729,1888,-215,-374,-420
132523939757322813,1935,2139,2698,1921,1730,1890,-215,-374,-420
132523939757414724,1942,2132,2694,1920,1729,1888,-215,-374,-420
132523939757649670,1967,2131,2666,1919,1728,1890,-215,-374,-420
132523939757937948,1972,2153,2677,1919,1728,1888,-215,-374,-420
132523939758087263,1951,2157,2667,1920,1729,1888,-212,-374,-418
132523939758411087,1953,2127,2684,1921,1730,1890,-212,-374,-418
132523939758489402,1948,2150,2673,1920,1728,1888,-212,-374,-418
132523939758660834,1962,2135,2683,1919,1728,1888,-209,-379,-425
132523939758748638,1934,2139,2669,1921,1729,1889,-209,-379,-425
132523939759012350,1917,2133,2663,1920,1729,1888,-209,-379,-425
132523939759263156,1954,2135,2692,1921,1729,1889,-209,-379,-425
132523939759519623,1942,2135,2691,1919,1728,1887,-209,-374,-426
132523939759675243,1953,2155,2681,1920,1728,1889,-209,-374,-426
132523939759810717,1941,2142,2661,1921,1730,1890,-209,-374,-426
132523939759949445,1955,2127,2693,1922,1730,1890,-211,-367,-425
132523939760338100,1940,2144,2654,1919,1729,1889,-211,-367,-425
132523939760620782,1950,2129,2694,1920,1729,1889,-211,-367,-425
132523939760637239,1959,2172,2681,1919,1728,1888,-211,-367,-425
132523939760911254,1945,2145,2659,1919,1728,1888,-204,-372,-422
132523939761185671,1948,2127,2700,1920,1728,1889,-204,-372,-422
132523939761350393,1954,2129,2677,1919,1728,1888,-204,-372,-422
132523939761412422,1958,2150,2651,1921,1730,1890,-213,-371,-425
