TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132523938208740427,1955,2143,2666,1920,1730,1887,-180,-452,-448
132523938208760727,1952,2147,2664,1920,1729,1890,-180,-452,-448
132523938208765970,1957,2154,2681,1919,1729,1888,-180,-452,-448
132523938208860352,1964,2130,2699,1920,1730,1889,-168,-455,-446
132523938209058590,1956,2141,2671,1920,1729,1889,-168,-455,-446
132523938209155801,1968,2146,2668,1921,1730,1889,-168,-455,-446
132523938209350616,1954,2140,2663,1921,1730,1890,-168,-455,-446
132523938209617556,1964,2140,2698,1922,1731,1891,-178,-449,-446
132523938210058629,1960,2144,2689,1921,1729,1888,-178,-449,-446
132523938210161614,1966,2161,2674,1922,1730,1890,-178,-449,-446
132523938210174228,1957,2140,2679,1920,1729,1888,-173,-451,-448
132523938210322710,1947,2146,2674,1919,1731,1889,-173,-451,-448
132523938210506464,1961,2120,2665,1921,1730,1889,-173,-451,-448
132523938210748039,1965,2159,2675,1920,1728,1889,-173,-451,-448
132523938210886336,1962,2145,2680,1921,1730,1890,-171,-453,-440
132523938211105922,1968,2158,2691,1920,1728,1888,-171,-453,-440
132523938211246637,1949,2150,2683,1920,1729,1889,-171,-453,-440
132523938211497681,1951,2143,2689,1921,1729,1890,-172,-452,-443
132523938211856761,1966,2132,2681,1922,1731,1891,-172,-452,-443
132523938211874565,1955,2141,2676,1920,1729,1888,-172,-452,-443
132523938212023335,1948,2135,2682,1920,1728,1888,-172,-452,-443
132523938212285937,1956,2136,2688,1919,1730,1889,-169,-449,-449
132523938212446704,1950,2147,2683,1922,1730,1891,-169,-449,-449
132523938212609336,1951,2138,2681,1920,1729,1889,-169,-449,-449
132523938212905393,1946,2136,2673,1919,1729,1889,-179,-450,-447
132523938213104923,1969,2155,2674,1921,1728,1890,-179,-450,-447
132523938213195983,1965,2125,2692,1919,1730,1889,-179,-450,-447
132523938213470691,1958,2136,2693,1920,1729,1889,-179,-450,-447
132523938213722962,1964,2155,2657,1919,1729,1888,-177,-452,-436
132523938213735641,1962,2147,2683,1920,1729,1888,-177,-452,-436
132523938214072250,1967,2153,2678,1921,1730,1890,-177,-452,-436
132523938214334048,1942,2145,2672,1918,1728,1888,-171,-446,-448
132523938214423653,1957,2148,2673,1920,1729,1888,-171,-446,-448
132523938214625649,1965,2132,2677,1921,1729,1890,-171,-446,-448
132523938214757713,1969,2149,2685,1922,1732,1891,-171,-446,-448
132523938215015698,1951,2148,2706,1920,1729,1889,-175,-449,-448
132523938215250467,1966,2156,2708,1920,1728,1889,-175,-449,-448
132523938215309582,1974,2139,2686,1919,1729,1889,-175,-449,-448
132523938215574734,1952,2145,2686,1922,1730,1890,-180,-447,-447
132523938215794303,1968,2157,2688,1920,1729,1888,-180,-447,-447
132523938215923854,1979,2141,2684,1920,1729,1890,-180,-447,-447
132523938216163509,1947,2142,2697,1921,1731,1891,-180,-447,-447
132523938216394052,1966,2150,2682,1919,1729,1888,-174,-450,-457
132523938216523544,1951,2133,2684,1920,1728,1888,-174,-450,-457
132523938216774696,1963,2155,2682,1920,1728,1888,-174,-450,-457
132523938216909454,1956,2152,2663,1921,1730,1890,-167,-451,-449
132523938217183316,1950,2143,2694,1921,1730,1889,-167,-451,-449
132523938217437133,1968,2167,2686,1920,1729,1889,-167,-451,-449
132523938217559634,1961,2161,2694,1922,1730,1891,-167,-451,-449
132523938217722656,1945,2143,2688,1921,1730,1889,-174,-454,-447
132523938217958680,1948,2130,2677,1919,1729,1888,-174,-454,-447
132523938218246867,1960,2142,2680,1919,1729,1889,-174,-454,-447
132523938218257516,1940,2151,2689,1919,1728,1888,-173,-453,-446
132523938218484180,1956,2113,2682,1921,1729,1889,-173,-453,-446
132523938218623113,1958,2145,2690,1921,1730,1890,-173,-453,-446
132523938218908559,1963,2148,2686,1920,1730,1890,-173,-453,-446
132523938219047342,1957,2143,2652,1919,1729,1889,-173,-453,-446
132523938219283876,1964,2143,2691,1921,1729,1888,-173,-453,-446
132523938219423729,1948,2128,2649,1919,1729,1888,-173,-453,-446
132523938219697132,1963,2134,2677,1920,1729,1889,-165,-450,-441
132523938219810212,1962,2139,2676,1920,1729,1889,-165,-450,-441
132523938220060414,1954,2151,2697,1919,1729,1889,-165,-450,-441
132523938220308917,1939,2141,2674,1921,1730,1890,-169,-449,-439
132523938220408609,1969,2114,2669,1920,1728,1889,-169,-449,-439
132523938220923590,1952,2147,2647,1922,1731,1889,-169,-449,-439
132523938220933260,1959,2133,2689,1921,1730,1890,-169,-449,-439
132523938221174565,1982,2141,2653,1920,1729,1888,-173,-453,-442
132523938221307797,1970,2139,2665,1920,1729,1889,-173,-453,-442
132523938221580190,1947,2137,2680,1920,1729,1889,-173,-453,-442
132523938221596573,1956,2134,2675,1919,1729,1888,-175,-444,-443
132523938221846975,1949,2129,2679,1921,1730,1890,-175,-444,-443
132523938222103726,1963,2139,2695,1921,1731,1891,-175,-444,-443
132523938222197624,1954,2158,2689,1920,1729,1888,-175,-444,-443
132523938222423762,1956,2149,2697,1921,1730,1889,-179,-444,-438
132523938222695980,1954,2157,2692,1921,1730,1890,-179,-444,-438
132523938222833117,1942,2141,2700,1920,1729,1887,-179,-444,-438
132523938223034983,1950,2130,2703,1919,1728,1888,-180,-454,-443
132523938223174772,1957,2135,2683,1920,1728,1888,-180,-454,-443
132523938223408596,1965,2131,2687,1921,1730,1890,-180,-454,-443
132523938223622650,1971,2164,2671,1921,1730,1891,-180,-454,-443
132523938223707926,1962,2144,2682,1920,1729,1889,-171,-454,-446
132523938223959020,1955,2136,2697,1922,1730,1889,-171,-454,-446
132523938224207126,1954,2135,2666,1920,1729,1889,-171,-454,-446
132523938224458777,1957,2164,2692,1921,1730,1887,-185,-449,-439
132523938224709516,1973,2151,2683,1919,1729,1888,-185,-449,-439
132523938224985165,1931,2141,2677,1920,1729,1888,-185,-449,-439
132523938225205713,1963,2145,2693,1921,1730,1890,-185,-449,-439
132523938225222827,1962,2135,2676,1918,1729,1887,-185,-452,-446
132523938225383518,1938,2145,2673,1920,1729,1890,-185,-452,-446
132523938225475984,1948,2142,2677,1921,1730,1889,-185,-452,-446
132523938225708911,1949,2127,2682,1919,1729,1889,-172,-454,-447
132523938225946256,1967,2148,2691,1921,1729,1888,-172,-454,-447
132523938226145185,1946,2126,2679,1920,1731,1890,-172,-454,-447
132523938226323637,1946,2155,2683,1920,1729,1889,-172,-454,-447
132523938226597347,1958,2125,2680,1921,1730,1890,-176,-449,-447
132523938226659081,1935,2146,2679,1920,1727,1890,-176,-449,-447
132523938226934937,1958,2159,2685,1921,1728,1888,-176,-449,-447
132523938227111449,1946,2143,2688,1920,1729,1889,-173,-451,-447
132523938227248435,1951,2130,2666,1920,1729,1888,-173,-451,-447
132523938227519888,1950,2147,2675,1921,1729,1889,-173,-451,-447
132523938227765993,1975,2150,2663,1920,1729,1889,-173,-451,-447
132523938227836110,1953,2141,2680,1920,1729,1889,-176,-456,-448
132523938228374152,1952,2138,2687,1922,1730,1890,-176,-456,-448
132523938228548182,1972,2144,2711,1920,1729,1888,-176,-456,-448
132523938228560035,1973,2149,2663,1921,1730,1889,-172,-445,-444
132523938228608933,1958,2159,2667,1919,1731,1890,-172,-445,-444
132523938228932235,1954,2136,2679,1920,1729,1888,-172,-445,-444
132523938229021540,1972,2146,2668,1922,1730,1890,-172,-445,-444
132523938229222915,1958,2133,2664,1921,1728,1889,-173,-454,-443
132523938229506261,1953,2142,2690,1920,1729,1888,-173,-454,-443
132523938229600239,1962,2146,2673,1922,1730,1889,-173,-454,-443
132523938229874069,1957,2153,2663,1920,1729,1888,-172,-453,-443
132523938230111161,1958,2123,2672,1920,1730,1889,-172,-453,-443
132523938230157764,1963,2143,2673,1919,1730,1890,-172,-453,-443
132523938230410068,1972,2157,2702,1920,1729,1888,-172,-453,-443
132523938230584431,1958,2139,2679,1921,1730,1889,-175,-451,-444
132523938230819876,1971,2161,2684,1920,1728,1888,-175,-451,-444
132523938231072718,1948,2157,2659,1919,1729,1888,-175,-451,-444
132523938231198743,1975,2138,2684,1921,1730,1889,-172,-443,-445
132523938231334707,1948,2122,2678,1920,1729,1889,-172,-443,-445
132523938231573447,1963,2142,2664,1920,1729,1887,-172,-443,-445
132523938231834921,1965,2147,2697,1920,1730,1889,-172,-443,-445
132523938232084978,1939,2148,2686,1920,1728,1888,-162,-454,-447
132523938232184075,1965,2141,2679,1922,1727,1889,-162,-454,-447
132523938232456776,1960,2147,2706,1920,1729,1888,-162,-454,-447
132523938232609216,1940,2145,2683,1919,1728,1888,-175,-450,-449
132523938232733923,1959,2153,2699,1921,1730,1889,-175,-450,-449
132523938232973797,1977,2144,2705,1920,1729,1889,-175,-450,-449
132523938233210071,1959,2119,2686,1921,1730,1888,-175,-450,-449
132523938233295714,1956,2133,2674,1919,1730,1891,-174,-447,-438
132523938233495800,1952,2160,2683,1921,1727,1889,-174,-447,-438
132523938233743477,1983,2153,2690,1921,1728,1889,-174,-447,-438
132523938233981951,1975,2145,2674,1920,1729,1889,-175,-450,-450
132523938234073144,1954,2145,2657,1920,1729,1888,-175,-450,-450
132523938234319682,1967,2167,2683,1921,1730,1890,-175,-450,-450
132523938234509750,1965,2136,2687,1921,1730,1889,-175,-445,-447
132523938234745426,1959,2134,2689,1920,1730,1889,-175,-445,-447
132523938234931951,1973,2154,2688,1920,1729,1891,-175,-445,-447
132523938235059974,1966,2143,2690,1921,1729,1891,-175,-445,-447
132523938235334672,1944,2167,2685,1920,1729,1889,-166,-449,-448
132523938235867604,1944,2160,2693,1919,1728,1889,-166,-449,-448
132523938235895921,1938,2140,2699,1919,1728,1888,-166,-449,-448
132523938235908796,1948,2142,2673,1920,1729,1889,-177,-442,-439
132523938236135132,1948,2151,2681,1923,1731,1891,-177,-442,-439
132523938236310250,1965,2145,2648,1921,1729,1889,-177,-442,-439
132523938236460105,1972,2121,2660,1920,1728,1889,-177,-442,-439
132523938236794270,1967,2164,2700,1921,1729,1887,-167,-453,-448
132523938237023550,1938,2160,2683,1921,1729,1890,-167,-453,-448
132523938237034791,1960,2124,2696,1922,1729,1885,-167,-453,-448
132523938237595170,1956,2145,2679,1920,1729,1889,-167,-451,-442
132523938237682683,1961,2149,2675,1921,1730,1889,-167,-451,-442
