TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132523941084316857,1940,2138,2671,1920,1729,1888,-212,-360,-424
132523941084382354,1931,2131,2654,1920,1730,1889,-212,-360,-424
132523941084581100,1938,2142,2692,1921,1730,1889,-212,-360,-424
132523941084956160,1957,2156,2699,1919,1728,1888,-209,-366,-423
132523941085107351,1947,2147,2686,1920,1729,1889,-209,-366,-423
132523941085355430,1963,2144,2659,1921,1730,1890,-209,-366,-423
132523941085604610,1952,2131,2670,1920,1729,1888,-209,-366,-423
132523941085628638,1943,2120,2676,1919,1729,1888,-213,-364,-427
132523941085738727,1937,2122,2658,1921,1729,1890,-213,-364,-427
132523941086028904,1943,2134,2656,1920,1730,1889,-213,-364,-427
132523941086165641,1954,2135,2680,1921,1730,1889,-209,-370,-426
132523941086405204,1937,2138,2657,1920,1729,1888,-209,-370,-426
132523941086614282,1938,2139,2689,1921,1729,1889,-209,-370,-426
132523941086755166,1946,2145,2655,1921,1730,1889,-209,-370,-426
132523941086990536,1932,2125,2664,1920,1728,1888,-221,-368,-427
132523941087253185,1949,2144,2666,1921,1730,1889,-221,-368,-427
132523941087540054,1955,2136,2659,1919,1729,1887,-221,-368,-427
132523941087554618,1939,2131,2686,1920,1729,1888,-217,-370,-424
132523941087787813,1952,2155,2671,1921,1730,1888,-217,-370,-424
132523941087882800,1960,2146,2674,1920,1729,1888,-217,-370,-424
132523941088116614,1938,2131,2670,1919,1729,1888,-217,-370,-424
132523941088368755,1947,2148,2703,1921,1731,1890,-208,-369,-415
132523941088481821,1945,2138,2672,1921,1731,1890,-208,-369,-415
132523941088715393,1920,2147,2706,1919,1729,1888,-208,-369,-415
132523941088957410,1946,2150,2681,1920,1728,1887,-208,-362,-428
132523941089091750,1956,2153,2681,1919,1729,1888,-208,-362,-428
132523941089342334,1923,2128,2690,1921,1730,1889,-208,-362,-428
132523941089602545,1950,2156,2679,1920,1729,1887,-208,-362,-428
132523941089756036,1946,2124,2671,1919,1729,1888,-213,-366,-422
132523941089890190,1948,2149,2665,1920,1730,1890,-213,-366,-422
132523941090152294,1947,2149,2681,1919,1729,1888,-213,-366,-422
132523941090239312,1941,2143,2691,1920,1729,1888,-211,-369,-419
132523941090482260,1957,2151,2698,1919,1728,1887,-211,-369,-419
132523941090726148,1936,2157,2705,1921,1730,1889,-211,-369,-419
132523941090982746,1952,2127,2691,1921,1730,1889,-211,-369,-419
132523941090989251,1965,2123,2695,1919,1728,1888,-208,-374,-422
132523941091302822,1934,2146,2688,1921,1727,1888,-208,-374,-422
132523941091366242,1938,2129,2667,1921,1730,1889,-208,-374,-422
132523941091602091,1953,2143,2678,1919,1729,1888,-209,-364,-427
132523941091878047,1927,2137,2662,1920,1729,1888,-209,-364,-427
132523941091990749,1945,2146,2699,1920,1729,1888,-209,-364,-427
132523941092230236,1946,2112,2675,1920,1729,1889,-209,-364,-427
132523941092479722,1915,2133,2686,1921,1730,1889,-219,-366,-421
132523941092754187,1947,2132,2681,1918,1728,1887,-219,-366,-421
132523941092801962,1945,2129,2684,1920,1728,1888,-219,-366,-421
132523941093063976,1947,2142,2684,1920,1730,1889,-216,-366,-428
132523941093202308,1960,2139,2685,1920,1729,1888,-216,-366,-428
132523941093441932,1939,2137,2668,1919,1730,1889,-216,-366,-428
132523941093737047,1946,2139,2687,1920,1730,1889,-216,-366,-428
132523941093853009,1964,2152,2683,1920,1729,1888,-214,-369,-431
132523941094017333,1947,2141,2666,1921,1730,1889,-214,-369,-431
132523941094263377,1933,2133,2667,1922,1731,1891,-214,-369,-431
132523941094341179,1943,2133,2699,1921,1728,1889,-212,-365,-423
