TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132523940450052151,1967,2132,2658,1921,1730,1890,-156,-437,-445
132523940450061644,1938,2143,2667,1920,1729,1888,-156,-437,-445
132523940450065060,1958,2150,2695,1921,1730,1888,-156,-437,-445
132523940450067929,1961,2140,2668,1921,1730,1889,-149,-436,-446
132523940450075168,1968,2164,2703,1921,1727,1888,-149,-436,-446
132523940450182556,1968,2143,2671,1921,1731,1888,-149,-436,-446
132523940450481916,1951,2115,2674,1921,1728,1888,-149,-436,-446
132523940450644887,1966,2161,2680,1919,1729,1888,-157,-444,-440
132523940450733517,1972,2145,2665,1921,1731,1889,-157,-444,-440
132523940451039180,1955,2167,2679,1920,1729,1888,-157,-444,-440
132523940451172436,1950,2140,2682,1921,1730,1889,-160,-434,-444
132523940451420474,1941,2140,2673,1920,1729,1889,-160,-434,-444
132523940451690812,1943,2163,2677,1920,1729,1890,-160,-434,-444
132523940451943530,1956,2141,2701,1920,1730,1890,-160,-434,-444
132523940452197015,1955,2140,2688,1920,1729,1889,-151,-433,-433
132523940452295730,1974,2152,2699,1919,1729,1889,-151,-433,-433
132523940452319201,1961,2149,2673,1921,1730,1890,-151,-433,-433
132523940452571032,1974,2142,2696,1920,1729,1889,-158,-446,-446
132523940452818462,1959,2129,2679,1921,1730,1889,-158,-446,-446
132523940453043166,1952,2151,2698,1920,1729,1889,-158,-446,-446
132523940453105827,1947,2149,2688,1921,1730,1889,-158,-446,-446
132523940453380989,1975,2127,2679,1921,1731,1889,-151,-439,-442
132523940453520086,1963,2162,2694,1920,1730,1888,-151,-439,-442
132523940453670520,1962,2144,2684,1920,1729,1889,-151,-439,-442
132523940453958270,1984,2151,2682,1921,1731,1889,-151,-445,-445
132523940454096957,1960,2144,2679,1920,1728,1888,-151,-445,-445
132523940454330798,1942,2163,2680,1920,1729,1889,-151,-445,-445
132523940454543670,1961,2132,2699,1920,1730,1890,-151,-445,-445
132523940454696876,1957,2147,2702,1919,1729,1888,-151,-437,-442
132523940454958002,1973,2147,2667,1922,1731,1890,-151,-437,-442
132523940455217110,1955,2147,2651,1920,1730,1888,-151,-437,-442
132523940455531124,1947,2113,2675,1922,1729,1890,-157,-434,-442
132523940455545931,1951,2155,2686,1922,1730,1889,-157,-434,-442
132523940455748577,1940,2145,2684,1919,1729,1888,-157,-434,-442
132523940455819636,1947,2134,2678,1920,1729,1889,-157,-434,-442
132523940456070598,1963,2141,2691,1920,1729,1888,-151,-437,-440
132523940456295187,1956,2127,2654,1921,1729,1888,-151,-437,-440
132523940456399608,1956,2132,2693,1921,1731,1889,-151,-437,-440
132523940456632116,1964,2158,2697,1920,1729,1888,-147,-436,-433
132523940456820268,1957,2154,2690,1920,1729,1888,-147,-436,-433
132523940457073861,1960,2141,2687,1921,1730,1889,-147,-436,-433
132523940457206780,1957,2169,2686,1923,1732,1891,-147,-436,-433
132523940457447349,1960,2143,2681,1921,1730,1889,-145,-439,-440
132523940457621561,1965,2123,2674,1920,1729,1888,-145,-439,-440
132523940457857484,1972,2148,2684,1921,1730,1888,-145,-439,-440
132523940458195105,1936,2171,2668,1922,1730,1890,-148,-435,-452
132523940458205982,1961,2130,2679,1919,1728,1888,-148,-435,-452
132523940458431621,1975,2153,2694,1919,1729,1888,-148,-435,-452
132523940458828463,1952,2157,2668,1921,1731,1890,-148,-435,-452
132523940458846011,1972,2145,2690,1921,1728,1887,-152,-440,-441
132523940459158608,1962,2143,2680,1921,1730,1889,-152,-440,-441
132523940459354805,1944,2161,2681,1919,1729,1888,-152,-440,-441
132523940459372110,1942,2133,2676,1920,1728,1888,-152,-444,-435
132523940459631806,1960,2140,2681,1921,1730,1890,-152,-444,-435
132523940459722117,1932,2142,2676,1920,1728,1887,-152,-444,-435
132523940459959307,1944,2147,2685,1920,1729,1889,-152,-444,-435
132523940460243416,1960,2119,2684,1922,1730,1889,-152,-444,-435
132523940460428383,1958,2139,2687,1920,1729,1888,-152,-444,-435
132523940460521179,1957,2129,2707,1920,1729,1888,-152,-444,-435
132523940460793121,1967,2153,2685,1921,1729,1889,-156,-438,-445
132523940460892763,1943,2157,2658,1920,1729,1888,-156,-438,-445
132523940461131159,1965,2151,2689,1921,1731,1889,-156,-438,-445
132523940461383778,1940,2127,2671,1920,1729,1888,-156,-436,-433
132523940461481090,1967,2151,2687,1922,1730,1889,-156,-436,-433
132523940461721034,1939,2161,2686,1921,1730,1889,-156,-436,-433
132523940462221434,1947,2136,2673,1920,1729,1888,-156,-436,-433
132523940462232585,1971,2138,2684,1921,1730,1888,-152,-450,-442
132523940462320967,1958,2145,2669,1919,1729,1887,-152,-450,-442
132523940462580597,1939,2159,2684,1920,1729,1889,-152,-450,-442
132523940462904151,1953,2165,2692,1921,1729,1890,-151,-440,-450
132523940462931811,1971,2136,2672,1920,1728,1888,-151,-440,-450
132523940463171530,1959,2148,2695,1921,1729,1889,-151,-440,-450
132523940463340147,1964,2163,2693,1921,1730,1889,-151,-440,-450
132523940463569899,1951,2140,2684,1920,1729,1888,-163,-438,-444
132523940463623032,1960,2133,2675,1921,1729,1889,-163,-438,-444
132523940463857836,1937,2138,2683,1920,1729,1888,-163,-438,-444
132523940464122002,1947,2117,2685,1921,1729,1889,-151,-440,-439
132523940464207589,1945,2150,2687,1922,1730,1890,-151,-440,-439
132523940464481919,1929,2139,2671,1920,1729,1888,-151,-440,-439
132523940464743432,1930,2138,2677,1920,1729,1888,-151,-440,-439
132523940465041161,1960,2149,2685,1920,1730,1889,-158,-437,-442
132523940465131409,1961,2148,2688,1921,1729,1889,-158,-437,-442
132523940465472222,1974,2141,2680,1921,1729,1888,-158,-437,-442
132523940465620181,1963,2154,2688,1920,1729,1888,-147,-441,-448
132523940465708666,1943,2155,2678,1922,1730,1890,-147,-441,-448
132523940465959741,1965,2131,2681,1921,1730,1890,-147,-441,-448
132523940466240391,1964,2136,2689,1919,1729,1889,-147,-441,-448
132523940466257672,1952,2134,2671,1922,1727,1888,-148,-445,-440
132523940466609400,1955,2155,2682,1921,1730,1889,-148,-445,-440
132523940466617069,1956,2152,2661,1920,1730,1888,-148,-445,-440
132523940466768467,1954,2147,2672,1921,1730,1888,-152,-439,-447
132523940467019063,1957,2148,2687,1920,1729,1888,-152,-439,-447
132523940467182293,1928,2117,2689,1921,1729,1887,-152,-439,-447
132523940467418068,1962,2130,2707,1921,1730,1890,-152,-439,-447
132523940467641127,1970,2147,2679,1923,1731,1891,-152,-432,-437
132523940467732578,1949,2154,2671,1921,1729,1887,-152,-432,-437
132523940467968870,1941,2154,2665,1921,1730,1889,-152,-432,-437
132523940468214370,1968,2147,2692,1920,1729,1888,-158,-442,-445
132523940468332768,1951,2136,2688,1919,1730,1889,-158,-442,-445
132523940468582469,1975,2156,2692,1919,1728,1888,-158,-442,-445
132523940468717534,1965,2161,2691,1921,1729,1889,-158,-442,-445
132523940469008737,1954,2142,2669,1921,1730,1890,-152,-440,-447
132523940469143666,1965,2144,2669,1920,1728,1887,-152,-440,-447
132523940469386003,1963,2141,2687,1920,1729,1888,-152,-440,-447
132523940469518842,1956,2150,2661,1919,1730,1889,-151,-443,-449
132523940469817980,1942,2127,2702,1920,1728,1889,-151,-443,-449
132523940469833899,1956,2154,2685,1920,1729,1888,-151,-443,-449
132523940470093760,1964,2143,2671,1920,1729,1888,-151,-443,-449
132523940470333393,1955,2144,2678,1920,1728,1888,-148,-431,-445
132523940470508596,1950,2151,2699,1921,1731,1889,-148,-431,-445
132523940470669367,1963,2150,2673,1920,1729,1888,-148,-431,-445
132523940470918166,1969,2139,2687,1921,1730,1886,-156,-439,-441
132523940471179603,1962,2145,2690,1921,1730,1890,-156,-439,-441
132523940471257680,1948,2146,2691,1920,1729,1888,-156,-439,-441
132523940471508367,1966,2138,2671,1920,1729,1890,-156,-439,-441
132523940471739849,1939,2137,2669,1920,1729,1888,-155,-432,-445
132523940471833864,1969,2146,2688,1922,1729,1889,-155,-432,-445
132523940472070255,1970,2143,2669,1921,1730,1889,-155,-432,-445
132523940472329969,1938,2143,2667,1920,1728,1888,-151,-443,-440
132523940472418830,1963,2151,2680,1919,1729,1888,-151,-443,-440
132523940472692836,1975,2151,2671,1922,1730,1889,-151,-443,-440
132523940472889726,1947,2121,2671,1923,1731,1890,-151,-443,-440
132523940473032365,1962,2137,2699,1920,1729,1889,-149,-442,-448
132523940473270493,1959,2151,2677,1920,1729,1888,-149,-442,-448
132523940473518775,1933,2115,2686,1919,1729,1889,-149,-442,-448
132523940473808912,1952,2169,2691,1921,1730,1890,-150,-440,-441
132523940473817644,1959,2139,2670,1921,1729,1888,-150,-440,-441
132523940473959668,1959,2140,2683,1921,1730,1888,-150,-440,-441
132523940474210550,1957,2121,2686,1923,1730,1890,-150,-440,-441
132523940474484689,1955,2129,2690,1920,1729,1888,-150,-440,-441
132523940474719681,1965,2131,2687,1920,1731,1889,-150,-440,-441
132523940474858284,1965,2135,2699,1920,1729,1888,-150,-440,-441
132523940474982671,1953,2161,2696,1920,1730,1889,-157,-446,-441
132523940475234187,1955,2140,2684,1921,1730,1890,-157,-446,-441
132523940475458288,1967,2152,2686,1922,1730,1891,-157,-446,-441
132523940475757411,1963,2143,2685,1921,1730,1889,-147,-431,-436
132523940475768187,1951,2141,2680,1922,1730,1889,-147,-431,-436
132523940476033815,1965,2161,2675,1920,1729,1888,-147,-431,-436
132523940476170841,1966,2129,2689,1919,1728,1890,-147,-431,-436
132523940476410371,1960,2170,2695,1919,1729,1888,-151,-443,-439
132523940476618004,1951,2129,2663,1921,1731,1889,-151,-443,-439
132523940476709084,1963,2137,2690,1921,1730,1890,-151,-443,-439
132523940476943424,1958,2125,2689,1920,1728,1888,-148,-437,-437
132523940477212305,1960,2147,2677,1920,1729,1888,-148,-437,-437
132523940477543482,1959,2135,2698,1920,1730,1889,-148,-437,-437
132523940477554727,1966,2120,2690,1919,1728,1888,-148,-437,-437
132523940477816630,1958,2135,2682,1924,1730,1889,-151,-434,-440
132523940478015704,1955,2139,2690,1920,1729,1889,-151,-434,-440
132523940478104481,1950,2145,2680,1920,1729,1888,-151,-434,-440
132523940478370714,1975,2155,2699,1922,1730,1890,-152,-441,-443
132523940478505524,1960,2133,2696,1920,1729,1888,-152,-441,-443
132523940478743470,1753,2301,2677,1776,1668,1891,-152,-441,-443
132523940478982349,2167,1867,2316,2198,1717,2175,-152,-441,-443
132523940479119038,2139,2230,2655,2019,1795,1918,-159,-430,-451
132523940479356032,1866,2197,2490,1872,1707,1874,-159,-430,-451
132523940479532731,2001,2135,2762,1918,1731,1887,-159,-430,-451
132523940479669706,1930,2156,2585,1913,1726,1889,-136,-434,-438
132523940479919286,1953,2135,2739,1935,1737,1890,-136,-434,-438
132523940480242244,1999,2138,2695,1914,1727,1890,-136,-434,-438
132523940480270624,1960,2143,2711,1916,1728,1889,-136,-434,-438
132523940480519551,1945,2144,2656,1920,1730,1889,-136,-431,-442
132523940480619605,1941,2146,2692,1923,1731,1888,-136,-431,-442
132523940480871901,1979,2137,2688,1922,1730,1889,-136,-431,-442
132523940481119693,1971,2113,2676,1921,1729,1889,-137,-439,-438
132523940481332330,1920,2132,2693,1921,1728,1889,-137,-439,-438
132523940481496352,1978,2136,2671,1921,1730,1889,-137,-439,-438
132523940481635072,1824,2151,2697,1896,1717,1867,-137,-439,-438
132523940481872600,1716,2145,2648,1931,1739,1567,-139,-430,-440
132523940482144695,2016,2077,2748,1799,1660,1642,-139,-430,-440
132523940482193911,2131,2123,2672,2008,1773,1782,-139,-430,-440
132523940482448084,2171,2155,2712,1925,1728,1897,-175,-439,-446
132523940482570816,1981,2135,2690,2027,1785,1889,-175,-439,-446
132523940482807137,2013,2144,2786,1879,1712,1890,-175,-439,-446
132523940483182859,1900,2179,2617,1954,1745,1890,-175,-439,-446
132523940483193805,1969,2113,2684,1925,1730,1887,-166,-455,-449
132523940483456954,1954,2155,2698,1911,1725,1888,-166,-455,-449
132523940483544956,1952,2131,2662,1916,1728,1891,-166,-455,-449
132523940483795103,1949,2156,2681,1918,1728,1889,-167,-449,-441
132523940484006896,1938,2145,2673,1919,1729,1888,-167,-449,-441
132523940484227823,1959,2151,2675,1920,1729,1887,-167,-449,-441
132523940484373927,1966,2150,2701,1920,1730,1889,-167,-449,-441
132523940484620524,1957,2148,2682,1921,1730,1890,-166,-441,-445
132523940484877418,1936,2160,2689,1919,1728,1888,-166,-441,-445
132523940484980977,1971,2146,2676,1921,1730,1889,-166,-441,-445
