TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132523943851809384,1960,2140,2680,1920,1729,1888,-145,-420,-440
132523943851813595,1970,2135,2673,1919,1729,1888,-145,-420,-440
132523943851817056,1953,2159,2701,1919,1729,1888,-145,-420,-440
132523943851820159,1970,2163,2692,1921,1730,1889,-152,-425,-442
132523943852053996,1933,2149,2687,1921,1730,1889,-152,-425,-442
132523943852198507,1974,2158,2704,1919,1729,1888,-152,-425,-442
132523943852464597,1960,2147,2683,1919,1728,1888,-152,-425,-442
132523943852525832,1962,2127,2671,1921,1730,1889,-141,-418,-435
132523943852765047,1961,2151,2697,1920,1729,1888,-141,-418,-435
132523943852987943,1955,2133,2673,1919,1730,1889,-141,-418,-435
132523943853246258,1944,2147,2661,1920,1730,1889,-154,-417,-440
132523943853509779,1975,2146,2684,1920,1729,1888,-154,-417,-440
132523943853773888,1953,2137,2669,1921,1731,1890,-154,-417,-440
132523943853945863,1965,2151,2691,1919,1729,1887,-154,-417,-440
132523943853987576,1967,2159,2663,1921,1729,1888,-153,-416,-432
132523943854213253,1942,2143,2692,1920,1729,1889,-153,-416,-432
132523943854264357,1957,2141,2674,1919,1729,1888,-153,-416,-432
132523943854501585,1951,2147,2696,1920,1728,1888,-152,-418,-448
132523943854762435,1973,2145,2684,1919,1729,1888,-152,-418,-448
132523943854898939,1955,2137,2694,1919,1729,1888,-152,-418,-448
132523943855149410,1965,2134,2699,1921,1730,1889,-152,-418,-448
132523943855335959,1962,2144,2699,1918,1727,1887,-148,-422,-444
132523943855476850,1955,2141,2689,1920,1729,1889,-148,-422,-444
132523943855711685,1979,2156,2690,1921,1729,1890,-148,-422,-444
132523943855976281,1960,2150,2704,1921,1729,1889,-156,-423,-440
132523943856024357,1977,2142,2675,1919,1730,1889,-156,-423,-440
132523943856276282,1951,2131,2668,1920,1729,1888,-156,-423,-440
132523943856573493,1959,2147,2676,1920,1730,1890,-156,-423,-440
132523943856751313,1965,2155,2661,1921,1730,1889,-148,-427,-434
132523943856839676,1966,2153,2703,1919,1728,1887,-148,-427,-434
132523943857259154,1947,2131,2675,1920,1728,1888,-148,-427,-434
132523943857274734,1963,2139,2698,1920,1729,1889,-154,-420,-446
132523943857525713,1955,2139,2691,1920,1728,1889,-154,-420,-446
132523943857663554,1959,2129,2694,1919,1729,1887,-154,-420,-446
132523943857907508,1947,2119,2684,1920,1730,1888,-154,-420,-446
132523943858089685,1953,2143,2679,1920,1728,1888,-152,-415,-439
132523943858190527,1962,2161,2678,1921,1730,1889,-152,-415,-439
