drug,drug_id,drug_actif,class_medi,category
celecoxib,D00567,celecoxib,Nonsteroidal Anti-inflammatory Drugs,Analgesics
diclofenac,D07816,diclofenac,Nonsteroidal Anti-inflammatory Drugs,Analgesics
diclofenac potassium,D00903,diclofenac,Nonsteroidal Anti-inflammatory Drugs,Analgesics
diclofenac sodium,D00904,diclofenac,Nonsteroidal Anti-inflammatory Drugs,Analgesics
diclofenac diethylamine,D07817,diclofenac,Nonsteroidal Anti-inflammatory Drugs,Analgesics
diclofenac hydroxyethylpyrrolidine,D07818,diclofenac,Nonsteroidal Anti-inflammatory Drugs,Analgesics
diclofenac calcium,D07819,diclofenac,Nonsteroidal Anti-inflammatory Drugs,Analgesics
diflunisal,D00130,diflunisal,Nonsteroidal Anti-inflammatory Drugs,Analgesics
etodolac,D00315,etodolac,Nonsteroidal Anti-inflammatory Drugs,Analgesics
fenoprofen,D02350,fenoprofen,Nonsteroidal Anti-inflammatory Drugs,Analgesics
fenoprofen calcium,D00968,fenoprofen,Nonsteroidal Anti-inflammatory Drugs,Analgesics
flurbiprofen,D00330,flurbiprofen,Nonsteroidal Anti-inflammatory Drugs,Analgesics
flurbiprofen axetil,D01475,flurbiprofen,Nonsteroidal Anti-inflammatory Drugs,Analgesics
flurbiprofen sodium,D02290,flurbiprofen,Nonsteroidal Anti-inflammatory Drugs,Analgesics
esflurbiprofen,D10254,flurbiprofen,Nonsteroidal Anti-inflammatory Drugs,Analgesics
ibuprofen,D00126,ibuprofen,Nonsteroidal Anti-inflammatory Drugs,Analgesics
ibuprofen piconol,D01122,ibuprofen,Nonsteroidal Anti-inflammatory Drugs,Analgesics
ibuprofen aluminum,D04490,ibuprofen,Nonsteroidal Anti-inflammatory Drugs,Analgesics
ibuprofen lysine,D06606,ibuprofen,Nonsteroidal Anti-inflammatory Drugs,Analgesics
ibuprofen arginine salt,D08058,ibuprofen,Nonsteroidal Anti-inflammatory Drugs,Analgesics
ibuprofen sodium,D08059,ibuprofen,Nonsteroidal Anti-inflammatory Drugs,Analgesics
ibuprofen sodium,D09760,ibuprofen,Nonsteroidal Anti-inflammatory Drugs,Analgesics
indomethacin,D00141,indomethacin,Nonsteroidal Anti-inflammatory Drugs,Analgesics
indomethacin sodium,D02110,indomethacin,Nonsteroidal Anti-inflammatory Drugs,Analgesics
ketoprofen,D00132,ketoprofen,Nonsteroidal Anti-inflammatory Drugs,Analgesics
ketoprofen lysine,D08102,ketoprofen,Nonsteroidal Anti-inflammatory Drugs,Analgesics
ketoprofen sodium,D08103,ketoprofen,Nonsteroidal Anti-inflammatory Drugs,Analgesics
ketorolac,D08104,ketorolac,Nonsteroidal Anti-inflammatory Drugs,Analgesics
ketorolac tromethamine,D00813,ketorolac,Nonsteroidal Anti-inflammatory Drugs,Analgesics
meclofenamic acid,D02341,meclofenamate,Nonsteroidal Anti-inflammatory Drugs,Analgesics
meclofenamate sodium,D00169,meclofenamate,Nonsteroidal Anti-inflammatory Drugs,Analgesics
meclofenamate sodium,D08162,meclofenamate,Nonsteroidal Anti-inflammatory Drugs,Analgesics
mefenamic acid,D00151,mefenamic acid,Nonsteroidal Anti-inflammatory Drugs,Analgesics
meloxicam,D00969,meloxicam,Nonsteroidal Anti-inflammatory Drugs,Analgesics
nabumetone,D00425,nabumetone,Nonsteroidal Anti-inflammatory Drugs,Analgesics
naproxen,D00118,naproxen,Nonsteroidal Anti-inflammatory Drugs,Analgesics
naproxen sodium,D00970,naproxen,Nonsteroidal Anti-inflammatory Drugs,Analgesics
naproxen etemesil,D10017,naproxen,Nonsteroidal Anti-inflammatory Drugs,Analgesics
oxaprozin,D00463,oxaprozin,Nonsteroidal Anti-inflammatory Drugs,Analgesics
piroxicam,D00127,piroxicam,Nonsteroidal Anti-inflammatory Drugs,Analgesics
piroxicam betadex,D05511,piroxicam,Nonsteroidal Anti-inflammatory Drugs,Analgesics
piroxicam cinnamate,D05512,piroxicam,Nonsteroidal Anti-inflammatory Drugs,Analgesics
piroxicam olamine,D05513,piroxicam,Nonsteroidal Anti-inflammatory Drugs,Analgesics
sulindac,D00120,sulindac,Nonsteroidal Anti-inflammatory Drugs,Analgesics
tolmetin,D02355,tolmetin,Nonsteroidal Anti-inflammatory Drugs,Analgesics
tolmetin sodium,D00158,tolmetin,Nonsteroidal Anti-inflammatory Drugs,Analgesics
hydromorphone,D08047,hydromorphone,"Opioid Analgesics, Long-acting",Analgesics
hydromorphone hydrochloride,D00839,hydromorphone,"Opioid Analgesics, Long-acting",Analgesics
fentanyl,D00320,fentanyl,"Opioid Analgesics, Long-acting",Analgesics
fentanyl citrate,D01399,fentanyl,"Opioid Analgesics, Long-acting",Analgesics
levorphanol,D08123,levorphanol,"Opioid Analgesics, Long-acting",Analgesics
levorphanol tartrate,D00841,levorphanol,"Opioid Analgesics, Long-acting",Analgesics
